cod,nome,uf,lat,lon,data,mes,ano,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia
83538,DIAMANTINA ,MG,-18.23,-43.64,29/02/1972,2,1972,55.4,,
83538,DIAMANTINA ,MG,-18.23,-43.64,31/03/1972,3,1972,83.6,25.5,16.732258
83538,DIAMANTINA ,MG,-18.23,-43.64,30/04/1972,4,1972,179,,14.689655
83538,DIAMANTINA ,MG,-18.23,-43.64,31/05/1972,5,1972,18.2,22.034483,12.853333
83538,DIAMANTINA ,MG,-18.23,-43.64,30/06/1972,6,1972,0.1,22.589286,12.396429
83538,DIAMANTINA ,MG,-18.23,-43.64,31/07/1972,7,1972,36.3,21.413333,11.496774
83538,DIAMANTINA ,MG,-18.23,-43.64,31/08/1972,8,1972,13,23.645161,12.125806
83538,DIAMANTINA ,MG,-18.23,-43.64,30/09/1972,9,1972,32.6,22.736667,12.636667
83538,DIAMANTINA ,MG,-18.23,-43.64,31/10/1972,10,1972,140.6,24.929032,14.925806
83538,DIAMANTINA ,MG,-18.23,-43.64,30/11/1972,11,1972,293.2,24.506667,16.383333
83538,DIAMANTINA ,MG,-18.23,-43.64,31/12/1972,12,1972,322.7,24.848387,16.316129
83538,DIAMANTINA ,MG,-18.23,-43.64,31/01/1973,1,1973,172.3,27.264516,17.064516
83538,DIAMANTINA ,MG,-18.23,-43.64,28/02/1973,2,1973,131.7,26.996429,17.078571
83538,DIAMANTINA ,MG,-18.23,-43.64,31/03/1973,3,1973,371.9,25.593548,17.087097
83538,DIAMANTINA ,MG,-18.23,-43.64,30/04/1973,4,1973,29,25.55,16.083333
83538,DIAMANTINA ,MG,-18.23,-43.64,31/05/1973,5,1973,16,23.177419,13.767742
83538,DIAMANTINA ,MG,-18.23,-43.64,30/06/1973,6,1973,8,23.52,13.626667
83538,DIAMANTINA ,MG,-18.23,-43.64,31/07/1973,7,1973,0.4,22.537931,11.62
83538,DIAMANTINA ,MG,-18.23,-43.64,31/08/1973,8,1973,0,25.190323,12.829032
83538,DIAMANTINA ,MG,-18.23,-43.64,30/09/1973,9,1973,50.1,23.346667,13.333333
83538,DIAMANTINA ,MG,-18.23,-43.64,31/10/1973,10,1973,322.9,22.141935,13.203226
83538,DIAMANTINA ,MG,-18.23,-43.64,30/11/1973,11,1973,396.7,23.416667,15.5
83538,DIAMANTINA ,MG,-18.23,-43.64,31/12/1973,12,1973,120.9,25.809677,16.496774
83538,DIAMANTINA ,MG,-18.23,-43.64,31/01/1974,1,1974,88.5,25.93871,16.241935
83538,DIAMANTINA ,MG,-18.23,-43.64,28/02/1974,2,1974,108.9,25.982143,15.978571
83538,DIAMANTINA ,MG,-18.23,-43.64,31/03/1974,3,1974,129.6,23.958065,16.635484
83538,DIAMANTINA ,MG,-18.23,-43.64,30/04/1974,4,1974,54.3,24.313333,15.316667
83538,DIAMANTINA ,MG,-18.23,-43.64,31/05/1974,5,1974,19.6,22.467742,13.974194
83538,DIAMANTINA ,MG,-18.23,-43.64,30/06/1974,6,1974,0,21.543333,11.766667
83538,DIAMANTINA ,MG,-18.23,-43.64,31/07/1974,7,1974,0,20.658065,10.541935
