cod,nome,UF,lat,lon,dentro_BHRD=5km
83037,CORONEL PACHECO ,MG,-21.55,-43.26,0
83442,ARACUAI ,MG ,-16.83,-42.05,0
83488,ITAMARANDIBA ,MG,-17.85,-42.85,1
83538,DIAMANTINA ,MG,-18.23,-43.64,1
83550,SAO MATEUS ,ES,-18.7,-39.85,1
83587,BELO HORIZONTE,MG,-19.93,-43.93,0
83589,C  DO MATO DENTRO ,MG,-19.02,-43.43,1
83592,CARATINGA ,MG,-19.73,-42.13,1
83595,AIMORES ,MG,-19.49,-41.07,1
83639,CAPARAO ,MG,-20.51,-41.9,1
83642,VICOSA ,MG,-20.76,-42.86,1
83648,VITORIA ,ES,-20.31,-40.31,1
83689,BARBACENA,MG,-21.25,-43.76,0
83695,ITAPERUNA ,RJ,-21.2,-41.9,1
